"OrderID","Region","Product","SalesAmount","Comments","YearMonth"
"1001","Quebec","Widget A","1200.50","Special character #!","2023-11"
"1002","Ontario","Widget B","300.99","Test$$Data","2023-11"
"1003","Quebec","Widget C","","No Sales","2023-12"
"1004","Alberta","Widget D","750.00","***Important***","2023-12"
"1005","British Columbia","Widget D","460.81","Test$$Data","2023-11"
"1006","British Columbia","Widget B","100.36","Another @@@ Example","2023-12"
"1007","British Columbia","Widget F","324.06","Test$$Data","2024-02"
"1008","Alberta","Widget F","932.18","Symbols!!##","2024-02"
"1009","Ontario","Widget A","1356.13","Normal Comment","2023-11"
"1010","British Columbia","Widget C","306.47","***Important***","2023-12"
"1011","Quebec","Widget D","1497.85","Normal Comment","2023-11"
"1012","Ontario","Widget B","986.63","Another @@@ Example","2024-02"
"1013","Manitoba","Widget E","762.24","Symbols!!##","2023-12"
"1014","British Columbia","Widget F","480.72","Edge case $Data","2024-02"
"1015","Alberta","Widget E","162.72","Test$$Data","2023-11"
"1016","Saskatchewan","Widget E","1422.92","***Important***","2023-11"
"1017","Saskatchewan","Widget D","1001.82","Another @@@ Example","2024-02"
"1018","British Columbia","Widget B","463.79","Normal Comment","2024-01"
"1019","Quebec","Widget C","394.75","No Sales","2024-02"
"1020","Saskatchewan","Widget C","224.0","***Important***","2024-02"
"1021","Alberta","Widget B","995.97","***Important***","2023-11"
"1022","Ontario","Widget F","1429.22","Edge case $Data","2024-02"
"1023","Quebec","Widget C","1282.93","Special character #!","2024-01"
"1024","Saskatchewan","Widget C","249.31","Edge case $Data","2024-01"
"1025","Manitoba","Widget E","484.49","***Important***","2024-02"
"1026","Ontario","Widget F","612.32","***Important***","2023-12"
"1027","Manitoba","Widget D","873.1","Special character #!","2023-11"
"1028","Saskatchewan","Widget E","849.8","Symbols!!##","2024-02"
"1029","Ontario","Widget E","1217.79","Normal Comment","2024-01"
"1030","Manitoba","Widget F","1323.61","No Sales","2024-01"
"1031","Manitoba","Widget C","433.88","Another @@@ Example","2023-11"
"1032","Quebec","Widget A","925.34","Symbols!!##","2024-01"
"1033","British Columbia","Widget D","122.4","***Important***","2023-11"
"1034","Saskatchewan","Widget E","667.77","Edge case $Data","2024-02"
"1035","Manitoba","Widget B","1118.94","***Important***","2024-01"
"1036","Quebec","Widget B","749.53","Symbols!!##","2023-11"
"1037","Ontario","Widget E","924.57","Test$$Data","2023-12"
"1038","British Columbia","Widget F","963.41","Symbols!!##","2024-01"
"1039","Ontario","Widget D","1098.92","Test$$Data","2024-02"
"1040","Manitoba","Widget E","900.88","Special character #!","2023-11"
